Name,Age,Tm,Max,Pitch_num,Speed,strikeout,G,GS,W,L,IP
Luke Gregerson,33,Houston,FT,1038,85.80106486,0.072254335,65,0,2,3,61
Zack Greinke,33,Arizona,FF,3326,86.39412651,0.06614552,32,32,17,7,202.1
A.J. Griffin,29,Texas,FF,1322,79.77350492,0.046142209,18,15,6,6,77.1
Jason Grilli,40,"Texas,Toronto",FF,800,88.62744361,0.06,46,0,2,5,40
Justin Grimm,28,Chicago,FF,964,89.3818561,0.06120332,50,0,1,2,55.1
Robert Gsellman,23,New York,FT,2049,89.98353688,0.040019522,25,22,8,7,119.2
Reymin Guduan,25,Houston,FF,324,91.97777778,0.049382716,22,0,,,16
Deolis Guerra,28,Los Angeles,FF,424,85.94549763,0.051886792,19,0,2,2,25
Javy Guerra,31,Miami,FF,320,88.97021944,0.0375,16,0,1,1,21
Junior Guerra,32,Milwaukee,FF,1238,88.67964459,0.054119548,21,14,1,4,70.1
Josh Hader,23,Milwaukee,FF,779,92.12120823,0.087291399,35,0,2,3,47.2
Jesse Hahn,27,Oakland,FT,1209,88.82584921,0.045492142,14,13,3,6,69.2
Justin Haley,26,Minnesota,FF,330,86.40606061,0.042424242,10,0,,,18
Cole Hamels,33,Texas,FF,2312,87.87278235,0.045415225,24,24,11,6,148
Jason Hammel,34,Kansas City,SL,3029,87.82079044,0.047870584,32,32,8,13,180.1
Brad Hand,27,San Diego,SL,1201,87.5618015,0.086594505,72,0,3,4,79.1
J.A. Happ,34,Toronto,FF,2487,89.73071659,0.057096904,25,25,10,11,145.1
Blaine Hardy,30,Detroit,FF,593,84.81942568,0.047217538,35,0,1,,33.1
Will Harris,32,Houston,FC,758,88.59866844,0.072559367,46,0,3,2,45.1
Donnie Hart,26,Baltimore,SI,709,82.27715092,0.04090268,51,0,2,,43.2
Matt Harvey,28,New York,FT,1686,90.87822725,0.039739027,19,18,5,7,92.2
Chris Hatcher,32,"Los Angeles,Oakland",FF,1009,90.80218254,0.062438057,49,0,1,2,59.2
Andrew Heaney,26,Los Angeles,SI,415,87.93542169,0.065060241,5,5,1,2,21.2
Ben Heller,25,New York,FF,181,89.25635359,0.049723757,9,0,1,,11
Jeremy Hellickson,30,"Baltimore,Philadelphia",FF,2618,85.38453569,0.036669213,30,30,8,11,164
Heath Hembree,28,Boston,FF,1113,91.72406563,0.062893082,62,0,2,3,62
Kyle Hendricks,27,Chicago,SI,2545,83.07940828,0.05540275,24,24,7,5,139.2
Liam Hendriks,28,Oakland,FF,1164,92.5242685,0.067010309,70,0,4,2,64
Ariel Hernandez,25,Cincinnati,FF,434,94.5124424,0.066820276,19,0,,,24.1
David Hernandez,32,"Los Angeles,Arizona",FF,822,89.29171742,0.064476886,64,0,3,1,55
Felix Hernandez,31,Seattle,CH,1382,86.72178003,0.056439942,16,16,6,5,86.2
Kelvin Herrera,27,Kansas City,FF,994,94.82694248,0.056338028,64,0,3,3,59.1
Trevor Hildenberger,26,Minnesota,SI,653,82.89555896,0.067381317,37,0,3,3,42
Rich Hill,37,Los Angeles,FF,2499,82.78226581,0.076030412,25,25,12,8,135.2
Jeff Hoffman,24,Colorado,FF,1610,89.70372902,0.050931677,23,16,6,5,99.1
Jonathan Holder,24,New York,FF,657,85.91541985,0.060882801,37,0,1,1,39.1
Derek Holland,30,Chicago,SI,2460,86.11859235,0.042276423,29,26,7,14,135
Greg Holland,31,Colorado,SL,901,88.50099889,0.077691454,61,0,3,6,57.1
David Holmberg,25,Chicago,FF,1075,83.05890028,0.030697674,37,7,2,4,57.2
J.J. Hoover,29,Arizona,FF,822,88.60997567,0.065693431,52,0,3,1,41.1
J.P. Howell,34,Toronto,SI,193,82.83403141,0.031088083,16,0,1,1,11
James Hoyt,30,Houston,SL,850,88.36792453,0.077647059,43,0,1,,49.1
Daniel Hudson,30,Pittsburgh,FF,1101,91.77490909,0.059945504,71,0,2,7,61.2
Jared Hughes,31,Milwaukee,SI,910,91.88813187,0.052747253,67,0,5,3,59.2
Phil Hughes,31,Minnesota,FF,907,85.55424476,0.041896362,14,9,4,3,53.2
Tommy Hunter,30,Tampa Bay,FC,872,92.78239356,0.073394495,61,0,3,5,58.2
Jason Hursh,25,Atlanta,FT,173,91.64883721,0.040462428,9,0,1,,10.2
Raisel Iglesias,27,Cincinnati,FF,1232,91.76352559,0.074675325,63,0,3,3,76
Hisashi Iwakuma,36,Seattle,FC,471,81.38391304,0.033970276,6,6,,2,31
Edwin Jackson,33,"Washington,Baltimore",FF,1302,90.06797235,0.046082949,16,13,5,6,76
Luke Jackson,25,Atlanta,FF,815,89.67936306,0.040490798,43,0,2,,50.2
Kenley Jansen,29,Los Angeles,FC,1241,92.5088907,0.103948429,65,0,5,,68.1
Myles Jaye,25,Detroit,FT,268,86.07985075,0.014925373,5,2,1,2,12.2
Jeremy Jeffress,29,"Texas,Milwaukee",FT,1144,91.03631532,0.04458042,61,1,5,2,65.1
Dan Jennings,30,"Chicago,Tampa Bay",SL,1040,87.69144231,0.049038462,77,0,3,1,62.2
Joe Jimenez,22,Detroit,FF,407,91.90958231,0.041769042,24,0,,2,19
Ubaldo Jimenez,33,Baltimore,FT,2587,86.9066512,0.053730189,31,25,6,11,142.2
Brian Johnson,26,Boston,FF,448,82.18102679,0.046875,5,5,2,,27
Jim Johnson,34,Atlanta,FT,975,89.42353546,0.062564103,61,0,6,3,56.2
Nate Jones,31,Chicago,FT,203,92.80738916,0.073891626,11,0,1,,11.2
Jakob Junis,24,Kansas City,SI,1525,86.61162943,0.052459016,20,16,9,3,98.1
Tommy Kahnle,27,"New York,Chicago",FF,1164,94.78297506,0.091065292,69,0,2,4,62.2
Nate Karns,29,Kansas City,FF,749,88.63409091,0.068090788,9,8,2,2,45.1
Keone Kela,24,Texas,FF,614,90.80735294,0.083061889,39,0,4,1,38.2
Shawn Kelley,33,Washington,FF,513,87.67825203,0.048732943,33,0,3,2,26
Joe Kelly,29,Boston,FF,1072,94.30904851,0.049440299,54,0,4,1,58
Ian Kennedy,32,Kansas City,FF,2641,88.30561457,0.049602423,30,30,5,13,154
Clayton Kershaw,29,Los Angeles,FF,3017,88.17299592,0.077891946,27,27,18,4,175
Dallas Keuchel,29,Houston,FT,2655,85.53843833,0.05913371,23,23,14,5,145.2
Craig Kimbrel,29,Boston,FF,1202,94.87845258,0.106489185,67,0,5,,69
Brandon Kintzler,32,"Washington,Minnesota",SI,1163,92.38864028,0.035253654,72,0,4,3,71.1
Andrew Kittredge,27,Tampa Bay,SL,245,87.11428571,0.057142857,15,0,,1,15.1
Corey Kluber,31,Cleveland,CU,3088,89.06090909,0.089054404,29,29,18,4,203.2
Corey Knebel,25,Milwaukee,FF,1359,92.57049301,0.092715232,76,0,1,4,76
Tom Koehler,31,"Miami,Toronto",FF,1282,87.96510172,0.048361934,27,13,1,7,72.2
George Kontos,32,"San Francisco,Pittsburgh",FC,1020,87.36286837,0.068627451,65,0,1,6,66.1
Ian Krol,26,Atlanta,SL,862,89.69025271,0.051044084,51,0,2,2,49
Chad Kuhl,24,Pittsburgh,SI,2686,92.53369363,0.052866716,31,31,8,11,157.1
John Lackey,38,Chicago,FF,2842,86.62566372,0.053483462,31,30,12,12,170.2
Dinelson Lamet,24,San Diego,FF,1941,90.8813763,0.071612571,21,21,7,8,115
Mat Latos,29,Toronto,FF,262,88.52260536,0.038167939,3,3,,1,15
Derek Law,26,San Francisco,FF,638,86.9338558,0.054858934,41,0,4,1,37.1
Casey Lawrence,29,"Seattle,Toronto",SI,973,87.60205973,0.05344296,27,2,2,3,55.1
Tommy Layne,32,New York,FC,245,84.12,0.036734694,19,0,,,13
Mike Leake,29,"St. Louis,Seattle",SI,2779,87.21369813,0.046779417,31,31,10,13,186
Wade LeBlanc,32,Pittsburgh,CH,1068,83.01190253,0.050561798,50,0,5,2,68
Jose Leclerc,23,Texas,FF,865,89.92314815,0.069364162,47,0,2,3,46.1
Dominic Leone,25,Toronto,FF,1082,91.27042514,0.074861368,65,0,3,,70.1
Jon Lester,33,Chicago,FF,3375,87.66460808,0.055407407,32,32,13,8,180.2
Artie Lewicki,25,Detroit,FF,192,88.16649215,0.03125,4,1,,1,10.1
Josh Lindblom,30,Pittsburgh,FF,186,87.14731183,0.053763441,4,0,,,10.1
Francisco Liriano,33,"Toronto,Houston",FT,1785,89.25574874,0.048739496,38,18,6,7,97
