,PEAK,OPS,G,salary_inf,weight,height,age,bats_B,bats_L,bats_R,throws_L,throws_R
292,1,0.8748176193554345,566,4096886.3668332184,195.0,74.0,31,0,1,0,0,1
293,1,0.6581260364842454,339,1136712.7494,185.0,72.0,32,1,0,0,0,1
294,1,0.6347402597402598,1166,3039647.576325,195.0,73.0,31,0,1,0,0,1
295,0,0.6942857142857143,138,318464.14465500007,195.0,76.0,24,1,0,0,0,1
296,1,0.8118041440402877,2393,6242496.51647459,195.0,75.0,39,1,0,0,0,1
297,1,0.9696536826701971,1022,3680981.595,165.0,74.0,36,0,0,1,0,1
298,1,0.7599790334894427,725,5841767.6415,205.0,75.0,31,0,0,1,0,1
299,1,0.7205454599976011,537,3548795.943,220.0,76.0,27,0,1,0,1,0
300,1,0.7488028114621148,846,2130280.985574648,192.0,76.0,31,0,0,1,0,1
301,1,0.530202893192217,805,2003381.2338750002,175.0,74.0,29,0,1,0,1,0
302,1,0.6933332144322175,999,5250000.0,195.0,70.0,36,0,0,1,0,1
303,1,0.7387945270110875,384,3385354.1405,170.0,72.0,30,0,0,1,0,1
304,1,0.738415701852965,2407,8096885.813250001,180.0,75.0,39,0,0,1,0,1
305,1,0.6175053017158281,536,5750000.0,195.0,72.0,32,0,1,0,1,0
306,1,0.7278496889424042,1378,2218309.8587999996,190.0,74.0,37,0,0,1,0,1
307,0,0.884127362777172,911,3449751.1052067,210.0,75.0,32,0,0,1,0,1
308,1,0.7531620553359684,956,4442508.70975,190.0,71.0,33,0,1,0,1,0
309,0,0.6234205140722104,104,517000.0,200.0,71.0,29,0,0,1,0,1
310,1,0.871164328129723,1927,17835578.255999997,215.0,75.0,36,0,1,0,0,1
311,1,0.7114285714285714,719,4180213.6537499996,180.0,70.0,35,0,1,0,1,0
312,1,0.6885382262996942,995,968027.737271452,190.0,72.0,37,0,0,1,0,1
313,1,0.6914188020103815,488,2632911.3928,195.0,72.0,35,0,0,1,0,1
314,1,0.4393939393939394,723,774193.5484,160.0,72.0,32,0,0,1,0,1
315,0,0.8568226365783786,655,5294937.294749999,215.0,73.0,33,0,0,1,0,1
316,0,0.8126002673796792,1237,5866653.658551252,170.0,73.0,31,0,1,0,0,1
317,1,0.7817028064992615,1062,8000000.0,215.0,75.0,31,0,0,1,0,1
318,0,0.7298747664997624,153,3321799.308,210.0,76.0,31,1,0,0,0,1
319,1,0.6545543425126283,793,1376673.0399,195.0,72.0,33,0,0,1,0,1
320,1,0.717570227232063,238,490884.83791999996,195.0,71.0,26,0,1,0,0,1
321,0,0.6190476190476191,103,314960.63,175.0,71.0,27,1,0,0,0,1
322,1,0.7217511958788176,554,1742957.7461999997,185.0,71.0,34,0,0,1,0,1
323,1,0.6354350123282846,456,2396739.130275,165.0,70.0,31,0,0,1,0,1
324,0,0.8783468104222821,384,1384615.3847625002,215.0,72.0,31,0,0,1,0,1
325,0,0.8158676907683706,103,190140.84504,195.0,74.0,27,0,0,1,0,1
